y_pred,y_true,y_score,y_probscore
0,0,"[0.9623881973712775, 0.03761180262872255]",0.03761180262872255
0,0,"[0.9519879337247161, 0.048012066275283906]",0.048012066275283906
0,1,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
0,0,"[0.8471084655330221, 0.1528915344669779]",0.1528915344669779
1,1,"[0.35826557704421114, 0.6417344229557889]",0.6417344229557889
0,0,"[0.9706051427525846, 0.02939485724741538]",0.02939485724741538
0,0,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
0,0,"[0.9574909795140535, 0.04250902048594647]",0.04250902048594647
1,0,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
1,1,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
0,0,"[0.9706051427525846, 0.02939485724741538]",0.02939485724741538
0,0,"[0.9129024281782476, 0.08709757182175235]",0.08709757182175235
0,0,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
0,1,"[0.9740325274551737, 0.025967472544826356]",0.025967472544826356
1,0,"[0.811088726576264, 0.188911273423736]",0.188911273423736
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
0,0,"[0.8772992833624268, 0.12270071663757325]",0.12270071663757325
0,0,"[0.8298550039457506, 0.1701449960542494]",0.1701449960542494
0,0,"[0.8629013932618139, 0.13709860673818602]",0.13709860673818602
1,1,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
0,0,"[0.8471084655330221, 0.1528915344669779]",0.1528915344669779
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
0,0,"[0.9574909795140535, 0.04250902048594647]",0.04250902048594647
0,0,"[0.9770697266556008, 0.022930273344399277]",0.022930273344399277
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
0,0,"[0.8629013932618139, 0.13709860673818602]",0.13709860673818602
1,0,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
0,0,"[0.9574909795140535, 0.04250902048594647]",0.04250902048594647
0,1,"[0.9740325274551737, 0.025967472544826356]",0.025967472544826356
1,1,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
1,0,"[0.48178306697309436, 0.5182169330269056]",0.5182169330269056
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
0,0,"[0.8471084655330221, 0.1528915344669779]",0.1528915344669779
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
1,0,"[0.1349480118700056, 0.8650519881299944]",0.8650519881299944
1,0,"[0.7688981511443844, 0.23110184885561555]",0.23110184885561555
0,0,"[0.9706051427525846, 0.02939485724741538]",0.02939485724741538
1,0,"[0.811088726576264, 0.188911273423736]",0.188911273423736
0,0,"[0.8772992833624268, 0.12270071663757325]",0.12270071663757325
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
0,0,"[0.9821387670185562, 0.017861232981443795]",0.017861232981443795
1,1,"[0.6941514246140202, 0.30584857538597976]",0.30584857538597976
0,0,"[0.9706051427525846, 0.02939485724741538]",0.02939485724741538
0,0,"[0.9740325274551737, 0.025967472544826356]",0.025967472544826356
0,0,"[0.9574909795140535, 0.04250902048594647]",0.04250902048594647
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
1,0,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
0,0,"[0.9770697266556008, 0.022930273344399277]",0.022930273344399277
1,0,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
0,0,"[0.9740325274551737, 0.025967472544826356]",0.025967472544826356
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
0,0,"[0.9706051427525846, 0.02939485724741538]",0.02939485724741538
0,0,"[0.9821387670185562, 0.017861232981443795]",0.017861232981443795
1,1,"[0.45006699803327654, 0.5499330019667235]",0.5499330019667235
0,0,"[0.9519879337247161, 0.048012066275283906]",0.048012066275283906
0,0,"[0.9797590719331434, 0.020240928066856664]",0.020240928066856664
1,0,"[0.7688981511443844, 0.23110184885561555]",0.23110184885561555
1,0,"[0.607567802270389, 0.3924321977296111]",0.3924321977296111
0,0,"[0.8772992833624268, 0.12270071663757325]",0.12270071663757325
1,0,"[0.7688981511443844, 0.23110184885561555]",0.23110184885561555
1,1,"[0.607567802270389, 0.3924321977296111]",0.3924321977296111
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
0,0,"[0.9574909795140535, 0.04250902048594647]",0.04250902048594647
0,0,"[0.9129024281782476, 0.08709757182175235]",0.08709757182175235
0,0,"[0.9311570417169137, 0.06884295828308623]",0.06884295828308623
0,0,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
1,1,"[0.5453996134650454, 0.4546003865349546]",0.4546003865349546
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
1,0,"[0.41875167306393546, 0.5812483269360645]",0.5812483269360645
0,0,"[0.9821387670185562, 0.017861232981443795]",0.017861232981443795
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
0,0,"[0.9311570417169137, 0.06884295828308623]",0.06884295828308623
1,0,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
0,0,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
1,1,"[0.5453996134650454, 0.4546003865349546]",0.4546003865349546
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
0,0,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
1,0,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
1,1,"[0.6664339192754127, 0.3335660807245872]",0.3335660807245872
0,0,"[0.9797590719331434, 0.020240928066856664]",0.020240928066856664
0,0,"[0.9740325274551737, 0.025967472544826356]",0.025967472544826356
0,0,"[0.9770697266556008, 0.022930273344399277]",0.022930273344399277
0,1,"[0.8298550039457506, 0.1701449960542494]",0.1701449960542494
0,1,"[0.9891973245427285, 0.010802675457271552]",0.010802675457271552
0,1,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
0,0,"[0.8772992833624268, 0.12270071663757325]",0.12270071663757325
0,0,"[0.8772992833624268, 0.12270071663757325]",0.12270071663757325
0,0,"[0.9574909795140535, 0.04250902048594647]",0.04250902048594647
0,0,"[0.9623881973712775, 0.03761180262872255]",0.03761180262872255
0,0,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
1,0,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
1,1,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
0,0,"[0.9797590719331434, 0.020240928066856664]",0.020240928066856664
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
0,0,"[0.9740325274551737, 0.025967472544826356]",0.025967472544826356
0,0,"[0.990478162744594, 0.009521837255406014]",0.009521837255406014
0,0,"[0.9574909795140535, 0.04250902048594647]",0.04250902048594647
1,1,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
1,0,"[0.720531590789536, 0.279468409210464]",0.279468409210464
0,0,"[0.8903772184388211, 0.1096227815611789]",0.1096227815611789
0,0,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
0,0,"[0.990478162744594, 0.009521837255406014]",0.009521837255406014
1,1,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
1,0,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
1,0,"[0.7688981511443844, 0.23110184885561555]",0.23110184885561555
0,0,"[0.8772992833624268, 0.12270071663757325]",0.12270071663757325
1,1,"[0.35826557704421114, 0.6417344229557889]",0.6417344229557889
0,0,"[0.8298550039457506, 0.1701449960542494]",0.1701449960542494
1,0,"[0.7688981511443844, 0.23110184885561555]",0.23110184885561555
1,0,"[0.720531590789536, 0.279468409210464]",0.279468409210464
1,0,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
1,0,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
0,0,"[0.8471084655330221, 0.1528915344669779]",0.1528915344669779
1,0,"[0.811088726576264, 0.188911273423736]",0.188911273423736
0,0,"[0.9519879337247161, 0.048012066275283906]",0.048012066275283906
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
1,0,"[0.45006699803327654, 0.5499330019667235]",0.5499330019667235
0,0,"[0.9821387670185562, 0.017861232981443795]",0.017861232981443795
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
1,0,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
0,0,"[0.9861031668831788, 0.013896833116821251]",0.013896833116821251
0,0,"[0.8772992833624268, 0.12270071663757325]",0.12270071663757325
1,1,"[0.607567802270389, 0.3924321977296111]",0.3924321977296111
0,0,"[0.8471084655330221, 0.1528915344669779]",0.1528915344669779
0,0,"[0.9821387670185562, 0.017861232981443795]",0.017861232981443795
0,0,"[0.9842431844471415, 0.015756815552858437]",0.015756815552858437
0,0,"[0.8471084655330221, 0.1528915344669779]",0.1528915344669779
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
1,0,"[0.811088726576264, 0.188911273423736]",0.188911273423736
0,0,"[0.8471084655330221, 0.1528915344669779]",0.1528915344669779
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
1,0,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
1,0,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
0,0,"[0.8903772184388211, 0.1096227815611789]",0.1096227815611789
1,1,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
0,1,"[0.8772992833624268, 0.12270071663757325]",0.12270071663757325
0,0,"[0.9129024281782476, 0.08709757182175235]",0.08709757182175235
0,0,"[0.9821387670185562, 0.017861232981443795]",0.017861232981443795
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
0,1,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
1,0,"[0.7688981511443844, 0.23110184885561555]",0.23110184885561555
1,0,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
1,0,"[0.5136466099411272, 0.4863533900588728]",0.4863533900588728
0,0,"[0.8629013932618139, 0.13709860673818602]",0.13709860673818602
0,0,"[0.9740325274551737, 0.025967472544826356]",0.025967472544826356
0,0,"[0.9129024281782476, 0.08709757182175235]",0.08709757182175235
1,1,"[0.45006699803327654, 0.5499330019667235]",0.5499330019667235
1,0,"[0.3295104608383932, 0.6704895391616068]",0.6704895391616068
1,1,"[0.48178306697309436, 0.5182169330269056]",0.5182169330269056
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
1,1,"[0.22786606566379275, 0.7721339343362073]",0.7721339343362073
1,1,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
0,0,"[0.8903772184388211, 0.1096227815611789]",0.1096227815611789
0,0,"[0.9519879337247161, 0.048012066275283906]",0.048012066275283906
0,0,"[0.9129024281782476, 0.08709757182175235]",0.08709757182175235
0,1,"[0.9821387670185562, 0.017861232981443795]",0.017861232981443795
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
0,0,"[0.8903772184388211, 0.1096227815611789]",0.1096227815611789
1,0,"[0.6941514246140202, 0.30584857538597976]",0.30584857538597976
0,0,"[0.9623881973712775, 0.03761180262872255]",0.03761180262872255
0,0,"[0.9623881973712775, 0.03761180262872255]",0.03761180262872255
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
1,1,"[0.811088726576264, 0.188911273423736]",0.188911273423736
1,0,"[0.7688981511443844, 0.23110184885561555]",0.23110184885561555
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
0,0,"[0.8298550039457506, 0.1701449960542494]",0.1701449960542494
1,1,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
1,1,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
0,0,"[0.9311570417169137, 0.06884295828308623]",0.06884295828308623
1,1,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
0,0,"[0.9623881973712775, 0.03761180262872255]",0.03761180262872255
0,0,"[0.938894428811217, 0.061105571188782994]",0.061105571188782994
1,0,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
1,0,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
0,0,"[0.9225207707057924, 0.07747922929420763]",0.07747922929420763
0,0,"[0.9574909795140535, 0.04250902048594647]",0.04250902048594647
0,0,"[0.8903772184388211, 0.1096227815611789]",0.1096227815611789
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
1,0,"[0.811088726576264, 0.188911273423736]",0.188911273423736
1,0,"[0.6375162219919662, 0.3624837780080338]",0.3624837780080338
1,0,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
1,0,"[0.811088726576264, 0.188911273423736]",0.188911273423736
0,0,"[0.9129024281782476, 0.08709757182175235]",0.08709757182175235
1,0,"[0.7688981511443844, 0.23110184885561555]",0.23110184885561555
1,0,"[0.7454707239294658, 0.25452927607053427]",0.25452927607053427
0,1,"[0.9129024281782476, 0.08709757182175235]",0.08709757182175235
0,1,"[0.8298550039457506, 0.1701449960542494]",0.1701449960542494
0,0,"[0.9519879337247161, 0.048012066275283906]",0.048012066275283906
1,0,"[0.5767876226679164, 0.4232123773320836]",0.4232123773320836
1,1,"[0.41875167306393546, 0.5812483269360645]",0.5812483269360645
0,0,"[0.9623881973712775, 0.03761180262872255]",0.03761180262872255
0,0,"[0.9022166180157716, 0.09778338198422841]",0.09778338198422841
0,0,"[0.9458128027961725, 0.05418719720382745]",0.05418719720382745
1,1,"[0.7907744623995087, 0.20922553760049137]",0.20922553760049137
0,0,"[0.9667408323632257, 0.033259167636774306]",0.033259167636774306
1,0,"[0.811088726576264, 0.188911273423736]",0.188911273423736
